name,price,image,description,DISPONIBILITÉ,gtin,Marque,Gamme PC,Gamer,Système d'exploitation,Taille de l'écran,Ecran,Ecran Tactile,Résolution Ecran,Processeur,Type Processeur,Référence Processeur,Fréquence Processeur,Mémoire Cache,Mémoire,Disque Dur,Type Disque Dur,Carte Graphique,Chipset Graphique,Clavier,Connecteurs,Destockage,Couleur,Garantie 
Pc Portable DELL Vostro 3510 i5 11è Gén 20Go 1To - Noir,"1 625,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/3/5/3510-i5-256ssd-58_1_4.jpg,"Écran 15.6"" HD - Processeur: Intel Core i5-1135G7 (2.40 GHz up to 4,20 GHz Turbo max, 8 Mo de mémoire cache, Quad-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 20 Go DDR4 - Disque dur: 1To HDD - Carte graphique:  NVIDIA GeForce MX 350 (2 Go de mémoire dédiée GDDR5) avec WiFi, Bluetooth,1x USB 3.2 Gen 1, 1xUSB-C 3.2 Gen 1, 1xUSB 2.0, 1x HDMI 1.4, 1x RJ45,1xprise jack audio - Couleur: Noir - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En arrivage,3510-I5-1T-20G,DELL,VOSTRO 3510,Non,FreeDos,15.6 Pouces,HD,Non,1366 x 768 pixels,Intel Core i5,Quad Core,Intel Core i5-1135G7,"2,40 GHz up to 4,20 GHz Turbo max",8 Mo,20 Go,1 To HDD,HDD,Nvidia GeForce,GeForce MX350,,"1x USB 3.2 Gen 1, 1xUSB-C 3.2 Gen 1, 1xUSB 2.0, 1x HDMI 1.4, 1x RJ45,1xprise jack audio",Non,Noir,1 an
PC Portable HP 14s-dq5001nk i5 12è Gén 8Go 256Go SSD - Silver,"1 629,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-hp-14s-dq5001nk-i5-12e-gen-8go-256go-ssd-silver.jpg,"Écran 14  Full HD - Processeur: Intel Core i5-1235U (up to 4,40 GHz Turbo max, 12 Mo de mémoire cache, 10-Cores) - Système d'exploitation: Windows 11 Famille - Mémoire: 8 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel Iris Xᵉ Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 adaptateur secteur Smart Pin, 1 prise combinée casque/microphone - Couleur: Silver - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,6D6W0EA,HP,14s-dq5001nk,Non,Windows 11 Famille,14 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,10 cœurs,Intel® Core™ i5-1235U,"up to 4,40 GHz Turbo max",12 Mo,8 Go,256 Go SSD,SSD,Graphique Intégrée,Intel Iris X,"Argent naturel, de grande taille","1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 adaptateur secteur Smart Pin, 1 prise combinée casque/microphone",Non,Silver,1 an
Pc Portable LENOVO IdeaPad 3 15ITL6 i5 11é Gén 12Go 1To - Gris,"1 635,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-lenovo-ideapad-3-15itl6-i5-11e-gen-12g-1to-gris1.jpg,"Ecran 15.6 FULL HD - Processeur: Intel Core i5-1135G7 (2.40 GHz up to 4,20 GHz Turbo max, 8 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 12 Go DDR4-3200 - Disque Dur: 1 To - Carte Graphique: NVIDIA GeForce MX350 (2 Go de mémoire dédiée GDDR5) avec WiFi, Bluetooth,1xUSB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm) et lecteur de carte - Couleur: Gris - Garantie: 1an 
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,82H8020YFG-12G,LENOVO,IDEAPAD 3,Non,Windows 11 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,Quad Core,Intel Core i5-1135G7,"2.40 GHz up to 4,20 GHz Turbo max",8 Mo,12 Go,1 To HDD,HDD,Nvidia GeForce,GeForce MX350,,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte, 1x connecteur d'alimentation",Non,Gris,1 an
PC Portable ASUS ExpertBook B1500 i5 11è Gén 24Go 256Go SSD - Noir,"1 639,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-asus-expertbook-b1500-i5-11e-gen-24g-256go-ssd-noir.jpg,"Écran 15.6'' FULL HD, IPS - Processeur: Intel Core i5-1135G7 ( 2.40 GHz up to 4,20 GHz Turbo Max, 8 Mo Mémoire cache, Quad-Core) - Système d'exploitation: Windows 10 Pro - Mémoire RAM: 24 Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique:  Intel HD Graphics avec WiFi, Bluetooth,1x USB 2.0 Type-A , 1x USB 3.2 Gen 1 Type-C ,2x USB 3.2 Gen 2 Type-A ,1x Thunderbolt 4, 1 x HDMI 1.4, 1x port VGA ,1 x combo audio jack de 3,5 mm, 1x RJ45 et lecteur de cartes Micro SD - Garantie: 2 ans
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,,ASUS,EXPERTBOOK,Non,Windows 10 Pro,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,Quad Core,Intel Core i5-1135G7,"2.40 GHz up to 4,20 GHz Turbo max",8 Mo,24 Go,256 Go SSD,SSD,Graphique Intégrée,Intel HD,,"1x USB 2.0 Type-A , 1x USB 3.2 Gen 1 Type-C ,2x USB 3.2 Gen 2 Type-A ,1x Thunderbolt 4, 1 x HDMI 1.4, 1x port VGA ,1 x combo audio jack de 3,5 mm, 1x RJ45, 1xLecteur de cartes Micro SD",Non,Noir,2 ans
Pc Portable HP 15s-eq3000nk AMD RYZEN 7 12Go 512Go SSD - Silver,"1 639,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-hp-15s-eq3000nk-amd-ryzen-7-12go-512go-ssd-silver.jpg,"Écran 15.6"" Full HD - Processeur: AMD Ryzen™ 7 5825U (2.0 GHz up to 4.5 GHz Turbo max, 16 Mo de mémoire cache, Octa-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 12 Go DDR4-3200 MHz - Disque dur: 512 Go SSD - Carte graphique: AMD Radeon Graphics avec WiFi, Bluetooth, 1x USB Type-C, 2x  USB Type-A, 1x HDMI 1.4b, 1 prise combinée casque/microphone, 1 prise adaptateur secteur Smart Pin- Couleur: Silver - Garantie: 1 an
                                 Retrait en Magasin ou Livraison Gratuite pour Cet Article",En arrivage,6D6Y2EA-12G,HP,15s-eq3000nk,Non,Windows 11 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,AMD Ryzen 7,Octa Core,AMD Ryzen™ 7 5825U,2.0 GHz up to 4.5 GHz Turbo max,16 Mo,12 Go,512Go SSD,SSD,AMD Radeon,AMD Radeon,de grande taille avec pavé numérique,"1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise combinée casque/microphone, 1 prise adaptateur secteur Smart Pin",Non,Silver,1 an
Pc Portable HP 15s-fq5001nk i5 12è Gén 16Go 256Go SSD - Silver,"1 639,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-hp-15s-fq5001nk-i5-12e-gen-16go-256go-ssd-silver_1.jpg,"Écran 15.6"" Full HD - Processeur: Intel Core i5-1235U (Up to 4,40 GHz Turbo max, 12 Mo de mémoire cache, 10-Cores) - Système d'exploitation: Windows 11 Famille - Mémoire: 16 Go DDR4-3200 - Disque dur: 256 Go SSD - Carte Graphique: Intel Iris Xᵉ Graphics avec Wifi, Bluetooth, 1x USB type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise combinée casque/microphone, 1 prise adaptateur secteur Smart Pin - Clavier de grande taille avec pavé numérique - Couleur: Silver - Garantie: 1 an
                            Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,6D6Y6EA-16G,HP,15s-fq5001nk,Non,Windows 11 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,10 cœurs,Intel® Core™ i5-1235U,"Up to 4,40 GHz Turbo max",12 Mo,16 Go,256 Go SSD,SSD,Graphique Intégrée,Intel Iris X,de grande taille avec pavé numérique,"1x USB type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise combinée casque/microphone, 1 prise adaptateur secteur Smart Pin",Non,Silver,1 an
PC Portable ASUS X515EP i5 11è Gén 16Go 512Go SSD - Silver,"1 649,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-asus-x515ep-i5-11e-gen-16go-512go-ssd-silver.jpg,"Écran 15.6"" FULL HD - Processeur: Intel Core i5-1135G7 (2.40 GHz Up to 4.20 GHz Turbo max, 8 Mo Mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 16 Go DDR4 - Disque Dur: 512 Go SSD - Carte Graphique: NVIDIA GeForce MX330 (2 Go de mémoire dédiée GDDR5) avec WiFi, Bluetooth, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1 x HDMI 1.4, 1 x combo audio jack de 3,5 mm - Clavier Chiclet avec pavé numérique - Couleur: Silver - Garantie: 1 an
+ Sac À Dos ASUS 
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,X515EP-EJ737W-16G,ASUS,X515EP,Non,Windows 11 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,Quad Core,Intel® Core™ i5-1135G7,"2,40 GHz Up to 4,20 GHz Turbo max",8 Mo,16 Go,512Go SSD,SSD,Nvidia GeForce,GeForce MX330,Chiclet avec pavé numérique,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1 x HDMI 1.4, 1 x combo audio jack de 3,5 mm",Non,Silver,1 an
PC Portable ASUS X515EP i5 11è Gén 16Go 512Go SSD - Silver,"1 649,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-asus-x515ep-i5-11e-gen-16g-512go-ssd-gris-50.jpg,"Écran 15.6"" FULL HD - Processeur: Intel Core i5-1135G7 (2.40 GHz Up to 4.20 GHz Turbo max, 8 Mo Mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 16 Go DDR4 - Disque Dur: 512 Go SSD - Carte Graphique: NVIDIA GeForce MX330 (2 Go de mémoire dédiée GDDR5) avec WiFi, Bluetooth, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1 x HDMI 1.4, 1 x combo audio jack de 3,5 mm - Clavier Chiclet avec pavé numérique - Couleur: Silver - Garantie: 1 an
+ Sac À Dos ASUS 
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,X515EP-EJ734W-16G,ASUS,X515EP,Non,Windows 11 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,Quad Core,Intel® Core™ i5-1135G7,"2,40 GHz Up to 4,20 GHz Turbo max",8 Mo,16 Go,512Go SSD,SSD,Nvidia GeForce,GeForce MX330,Chiclet avec pavé numérique,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1 x HDMI 1.4, 1 x combo audio jack de 3,5 mm",Non,Silver,1 an
Pc Portable HP 15s-fq5001nk i5 12è Gén 20Go 256Go SSD - Silver,"1 649,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc_portable_hp_15s-fq5001nk_i5_12_g_n_20go_256go_ssd_-_silver.jpg,"Écran 15.6  Full HD - Processeur: Intel Core i5-1235U (Up to 4,40 GHz Turbo max, 12 Mo de mémoire cache, 10-Cores) - Système d'exploitation: Windows 11 Famille - Mémoire: 20 Go DDR4-3200 - Disque dur: 256Go SSD - Carte Graphique: Intel Iris Xᵉ Graphics avec Wifi, Bluetooth, 1x USB type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise combinée casque/microphone, 1 prise adaptateur secteur Smart Pin - Clavier de grande taille avec pavé numérique - Couleur: Silver - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article
",En stock,6D6Y6EA-20G,HP,15s-fq5001nk,Non,Windows 11 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,10 cœurs,Intel® Core™ i5-1235U,"Up to 4,40 GHz Turbo max",12 Mo,20 Go,256 Go SSD,SSD,Graphique Intégrée,Intel Iris X,de grande taille avec pavé numérique,"1x USB type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 prise combinée casque/microphone, 1 prise adaptateur secteur Smart Pin",Non,Silver,1 an
PC Portable LENOVO IdeaPad 3 15ITL6 i5 11è Gén 8Go 1To + 256Go SSD - Bleu,"1 649,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-lenovo-ideapad-3-15itl6-i5-11e-gen-8go-1to-256go-ssd-bleu-1.jpg,"Écran 15.6 FULL HD - Processeur: Intel Core i5-1135G7 (2.40 GHz up to 4,20 GHz Turbo max, 8 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 8  Go DDR4-2666 - Disque Dur: 1 To + 256 Go SSD - Carte Graphique: NVIDIA GeForce MX350 (2 Go de mémoire dédiée GDDR5) avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm) et lecteur de carte - Couleur: Bleu  - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En arrivage,82H8020XFG-256SSD,LENOVO,IDEAPAD 3,Non,Windows 11 Famille,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,Quad Core,Intel Core i5-1135G7,"2,40 GHz up to 4.20 GHz Turbo max",8 Mo,8 Go,1To + 256Go SSD,SSD + HDD,Nvidia GeForce,GeForce MX350,,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x prise combinée casque/microphone (3,5 mm), 1x lecteur de carte",Non,Bleu,1 an
PC Portable ASUS X515EP i5 11è Gén 20Go 256Go SSD - Bleu,"1 659,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-asus-x515ep-i5-11e-gen-20go-256go-ssd-bleu-g.jpg,"Écran 15.6"" HD - Processeur: Intel Core i5-1135G7 (2.40 GHz Up to 4.20 GHz Turbo max, 8 Mo Mémoire cache, Quad-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 20 Go DDR4 - Disque Dur: 256 Go SSD - Carte Graphique: NVIDIA GeForce MX330 (2 Go de mémoire dédiée GDDR5) avec WiFi, Bluetooth, 1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, combo audio jack de 3,5 mm - Clavier chiclet avec touche numérique - Couleur: Bleu - Garantie: 2 ans
+ Sac À Dos ASUS 
Retrait en Magasin ou Livraison Gratuite pour Cet Article",Epuisé,X515EP-BQ676W-20G,ASUS,X515EP,Non,Windows 11 Famille,15.6 Pouces,HD,Non,1366 x 768 pixels,Intel Core i5,Quad Core,Intel® Core™ i5-1135G7,2.40 GHz Up to 4.20 GHz Turbo max,8 Mo,20 Go,256 Go SSD,SSD,Nvidia GeForce,GeForce MX330,Chiclet avec touche numérique,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, combo audio jack de 3,5 mm ",Non,Bleu,2 ans
PC Portable LENOVO V15 G2 ITL i5 11è Gén 12Go 256 Go SSD - Noir,"1 665,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/8/2/82kb00ynfe-12g-a.jpg,"Écran 15.6 FULL HD - Processeur: Intel Core i5-1135G7 (2.40 GHz up to 4.20 GHz Turbo max, 8 Mo de mémoire cache, Quad-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 12  Go DDR4-3200 - Disque Dur: 256 Go SSD  - Carte Graphique: Intel Iris Xᵉ Graphics avec Wi-Fi, Bluetooth, 1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm) - Couleur: Noir  - Garantie: 2 ans
+ Sacoche Lenovo T210
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,82KB00YNFE-12G,LENOVO,V15 G2 ITL,Non,FreeDos,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,Quad Core,Intel Core i5-1135G7,2.40 GHz up to 4.20 GHz Turbo max,8 Mo,12 Go,256 Go SSD,SSD,Graphique Intégrée,Intel Iris X,,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1x RJ-45, 1x prise combinée casque/microphone (3,5 mm)",Non,Noir,2 ans
PC Portable HP 14s-dq5001nk i5 12è Gén 12Go 256Go SSD - Silver,"1 669,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-hp-14s-dq5001nk-i5-12e-gen-12go-256go-ssd-silver.jpg,"Écran 14"" Full HD - Processeur: Intel Core i5-1235U (up to 4,40 GHz Turbo max, 12 Mo de mémoire cache, 10-Cores) - Système d'exploitation: Windows 11 Famille - Mémoire: 12 Go DDR4-3200 MHz - Disque dur: 256 Go SSD - Carte graphique: Intel Iris Xᵉ Graphics, avec Wi-Fi, Bluetooth, 1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 adaptateur secteur Smart Pin, 1 prise combinée casque/microphone - Couleur: Silver - Garantie: 1 an
Retrait en Magasin ou Livraison Gratuite pour Cet Article",Epuisé,6D6W0EA-12G,HP,14s-dq5001nk,Non,Windows 11 Famille,14 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,10 cœurs,Intel® Core™ i5-1235U,"Up to 4,40 GHz Turbo max",12 Mo,12 Go,256 Go SSD,SSD,Graphique Intégrée,Intel Iris X,"Argent naturel, de grande taille","1x USB Type-C, 2x USB Type-A, 1x HDMI 1.4b, 1 adaptateur secteur Smart Pin, 1 prise combinée casque/microphone",Non,Silver,1 an
PC Portable LENOVO V15 G2 ITL i5 11è Gén 8Go 1To - Noir,"1 669,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/8/2/82kb00sjfe-8g_1.jpg,"Écran 15.6 FULL HD - Processeur: Intel Core i5-1135G7 (2.40 GHz up to 4.20 GHz Turbo max, 8 Mo de mémoire cache, Quad-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8  Go DDR4-3200 - Disque Dur: 1 To HDD  - Carte Graphique: Intel Iris Xᵉ Graphics avec Wi-Fi, Bluetooth,1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1 xRJ-45, 1x prise combo casque/micro (3,5 mm) - Couleur: Noir  - Garantie: 1 an Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,82KB00SJFE-8G,LENOVO,V15 G2 ITL,Non,FreeDos,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i5,Quad Core,Intel Core i5-1135G7,2.40 GHz up to 4.20 GHz Turbo max,8 Mo,8 Go,1 To HDD,HDD,Graphique Intégrée,Intel Iris X,,"1x USB 2.0, 1x USB 3.2 Gen 1, 1x USB-C 3.2 Gen 1, 1x HDMI 1.4b, 1 xRJ-45, 1x prise combo casque/micro (3,5 mm), 1x connecteur d'alimentation",Non,Noir,1 an
PC Portable ASUS VivoBook Flip 14 TM420UA AMD RYZEN 5 4Go 512Go SSD - Noir,"1 675,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-asus-vivobook-flip-14-tm420ua-amd-ryzen-5-4go-512go-ssd-noir.jpg,"Écran 14'' FULL HD, IPS Tactile - Processeur: AMD Ryzen™ 5 5500U (2.1GHz up to 4.0GHz Turbo max, 8 Mo Mémoire cache, Hexa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 4 Go DDR4 - Disque Dur: 512 Go SSD - Carte Graphique: AMD Radeon™ Graphics avec WiFi, Bluetooth, 1x USB 2.0 Type-A, 1x USB 3.2 Gen 2 Type-A, 1x USB 3.2 Gen 2 Type-C, 1x HDMI 1.4, 1x prise audio combo 3,5 mm, Entrée CC, et Lecteur de carte Micro SD 4.0 - Clavier chiclet rétroéclairé - Garantie: 1 an
+ Stylus & Sleeve
Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,TM420UA-EC224,ASUS,VIVOBOOK FLIP 14,Non,FreeDos,14 Pouces,Full HD,Oui,1920 x 1080 pixels,AMD Ryzen 5,Hexa Core,AMD Ryzen™ 5 5500U,2.1GHz up to 4.0GHz Turbo max,8 Mo,4 Go,512Go SSD,SSD,AMD Radeon,AMD Radeon,chiclet rétroéclairé,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 2 Type-A, 1x USB 3.2 Gen 2 Type-C, 1x HDMI 1.4, 1x prise audio combo 3,5 mm, Entrée CC, 1x Lecteur de carte Micro SD 4.0",Non,Noir,1 an
Pc Portable DELL Vostro 3510 i5 11è Gén 8Go 1To + 256Go SSD - Noir,"1 685,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-dell-vostro-3510-i5-11e-gen-8g-1to-256go-ssd-noir.jpg,"Écran 15.6"" HD - Processeur: Intel Core i5-1135G7 (2.40 GHz up to 4,20 GHz Turbo max, 8 Mo de mémoire cache, Quad-Core) - Système d'exploitation: Windows 10 Pro - Mémoire RAM: 8 Go DDR4 - Disque dur: 1To + 256 Go SSD - Carte graphique:  NVIDIA GeForce MX 350 (2 Go de mémoire dédiée GDDR5) avec WiFi, Bluetooth,1x USB 3.2 Gen 1, 1xUSB-C 3.2 Gen 1, 1xUSB 2.0, 1x HDMI 1.4, 1x RJ45,1xprise jack audio - Couleur: Noir - Garantie: 1 an
+ ESET INTERNET SECURITY (Version d'essai 30 jours gratuits)
                                             Retrait en Magasin ou Livraison Gratuite pour Cet Article",En arrivage,BU-3510-I5-1T-8G-256SSD-W10P,DELL,VOSTRO 3510,Non,Windows 10 Pro,15.6 Pouces,HD,Non,1366 x 768 pixels,Intel Core i5,Quad Core,Intel Core i5-1135G7,"2.40 GHz up to 4,20 GHz Turbo max",8 Mo,8 Go,1To + 256Go SSD,SSD + HDD,Nvidia GeForce,GeForce MX350,,"1x USB 3.2 Gen 1, 1xUSB-C 3.2 Gen 1, 1xUSB 2.0, 1x HDMI 1.4, 1x RJ45,1xprise jack audio",Non,Noir,1 an
Pc Portable ACER Aspire 5 A515-56 i7 11è Gén 8Go 1To - Gris,"1 695,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-acer-aspire-5-a515-56-i7-11e-gen-8g-1to-gris.jpg,"Écran 15.6""  FULL HD IPS - Processeur: Intel Core i7-1165G7 (2.80 GHz up to 4.70 GHz Turbo max, 12 Mo de mémoire cache, Quad-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go - Disque Dur: 1To HDD - Carte Graphique: NVIDIA GeForce MX450 (2 Go de mémoire dédiée DDR5) avec Wi-Fi, Bluetooth,1x USB 2.0, 2x USB 3.2 Gen 1, 1xUSB Type-C: USB 3.1 Gen 1, 1x HDMI 2.0, 1x RJ-45, 1 jack combo Audio/micro compatible casque smartphone 3,5mm - Couleur: Gris - Garantie: 1 an
                                 Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,NX.AT9EF.002,ACER,ASPIRE 5,Non,FreeDos,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i7,Quad Core,Intel Core i7-1165G7,"2.80 GHz up to 4,70 GHz Turbo max",12 Mo,8 Go,1 To HDD,HDD,Nvidia GeForce,GeForce MX450,,"1x USB 2.0, 2x USB 3.2 Gen 1, 1x USB Type-C: USB 3.1 Gen 1, 1 x HDMI 2.0, 1 x RJ-45, 1 jack combo Audio/micro compatible casque smartphone 3,5mm",Non,Gris,1 an
Pc Portable ACER Aspire 5 A515-56 i7 11è Gén 8Go 1To - Noir,"1 695,000 DT",https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/p/c/pc-portable-acer-aspire-5-a515-56-i7-11e-gen-8g-1to-noir.jpg,"Écran 15.6  Full HD IPS - Processeur: Intel Core i7-1165G7 (2,80 GHz up to 4,70 GHz Turbo max, 12 Mo de mémoire cache, Quad-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR4 - Disque Dur: 1 To HDD - Carte Graphique: NVIDIA GeForce MX450 (2 Go de mémoire dédiée DDR5)  avec Wi-Fi, Bluetooth,1x USB 2.0, 2x USB 3.2 Gen 1, 1xUSB Type-C: USB 3.1 Gen 1, 1x HDMI 2.0, 1x RJ-45, 1 jack combo Audio/micro compatible casque smartphone 3,5mm, microphone - Couleur: Noir - Garantie: 1 an                                  Retrait en Magasin ou Livraison Gratuite pour Cet Article",En stock,NX.AT3EF.002,ACER,ASPIRE 5,Non,FreeDos,15.6 Pouces,Full HD,Non,1920 x 1080 pixels,Intel Core i7,Quad Core,Intel® Core™ i7-1165G7,"2.80 GHz up to 4,70 GHz Turbo max",12 Mo,8 Go,1 To HDD,HDD,Nvidia GeForce,GeForce MX450,,"1x USB 2.0, 2x USB 3.2 Gen 1, 1x USB Type-C: USB 3.1 Gen 1, 1x HDMI 2.0, 1x RJ-45, 1 jack combo Audio/micro compatible casque smartphone 3,5mm, microphone",Non,Noir,1 an
